ticker,signal_date,entry_date,exit_date,entry,exit,reason,bars,init_stop_pct,ret_pct,net_pct,mfe_pct,mae_pct,reached_be
360ONE,2024-06-27,2024-06-28,2024-09-26,920.87,1010.74,ema,62,-7.67,9.76,9.36,29.39,-2.0,False
360ONE,2024-10-11,2024-10-14,2024-10-23,1046.04,998.11,ema,7,-9.2,-4.58,-4.98,7.49,-4.75,False
360ONE,2024-10-24,2024-10-25,2024-10-28,1013.15,999.73,ema,1,-9.99,-1.32,-1.72,1.5,-4.71,False
360ONE,2024-10-29,2024-10-30,2024-11-05,1008.24,1018.07,ema,4,-9.7,0.98,0.58,7.25,-0.06,False
360ONE,2024-11-06,2024-11-07,2024-11-08,1042.55,1028.39,ema,1,-8.95,-1.36,-1.76,1.38,-2.55,False
360ONE,2025-06-13,2025-06-16,2025-07-24,1127.68,1109.88,ema,28,-8.58,-1.58,-1.98,11.74,-3.5,False
360ONE,2025-11-28,2025-12-01,2025-12-05,1178.06,1113.94,stop,4,-5.44,-5.44,-5.84,1.16,-5.15,False
360ONE,2025-12-23,2025-12-24,2026-01-12,1183.13,1134.32,ema,12,-5.58,-4.13,-4.53,2.61,-5.04,False
360ONE,2026-01-13,2026-01-14,2026-01-21,1128.85,1117.71,ema,4,-6.11,-0.99,-1.39,8.88,-1.05,False
360ONE,2026-01-30,2026-02-02,2026-02-03,1085.7,1143.36,ema,1,-6.85,5.31,4.91,3.02,-2.25,False
360ONE,2026-02-03,2026-02-04,2026-02-06,1136.4,1125.47,ema,2,-7.39,-0.96,-1.36,2.53,-1.03,False
360ONE,2026-02-25,2026-02-26,2026-02-27,1128.05,1123.48,ema,1,-6.24,-0.41,-0.81,0.73,-1.37,False
3MINDIA,2025-11-06,2025-11-07,2026-01-12,34993.22,33647.7,ema,45,-5.67,-3.85,-4.25,5.08,-5.66,False
5PAISA,2024-01-01,2024-01-02,2024-02-12,604.65,561.23,stop,27,-7.18,-7.18,-7.58,25.44,-4.18,False
AADHARHFC,2025-07-23,2025-07-24,2025-10-17,518.75,509.3,ema,58,-6.01,-1.82,-2.22,5.6,-5.35,False
AADHARHFC,2025-10-24,2025-10-27,2025-11-03,525.0,511.15,ema,5,-5.15,-2.64,-3.04,0.17,-3.05,False
AARTIDRUGS,2025-07-15,2025-07-16,2025-08-01,528.22,489.56,stop,12,-7.32,-7.32,-7.72,6.21,-5.1,False
AARTIDRUGS,2025-09-12,2025-09-15,2025-09-26,505.98,469.63,stop,9,-7.18,-7.18,-7.58,5.08,-1.09,False
AARTIDRUGS,2025-09-29,2025-09-30,2025-10-01,482.41,483.9,ema,1,-7.6,0.31,-0.09,0.78,-0.99,False
AARTIDRUGS,2025-10-06,2025-10-07,2025-10-27,496.63,491.31,ema,13,-6.72,-1.07,-1.47,6.18,-1.5,False
AARTIIND,2026-02-05,2026-02-06,2026-03-02,451.2,416.0,gap,16,-6.74,-7.8,-8.2,5.21,-3.15,False
AARTIPHARM,2025-08-19,2025-08-20,2025-08-21,850.89,844.97,ema,1,-9.42,-0.7,-1.1,0.0,-2.81,False
AARTIPHARM,2025-08-21,2025-08-22,2025-08-25,857.95,861.64,ema,1,-9.05,0.43,0.03,0.77,-1.19,False
AARTIPHARM,2025-08-29,2025-09-01,2025-09-02,842.93,865.52,ema,1,-8.41,2.68,2.28,2.01,-2.59,False
