Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
1313,CAPILLARY,Technology,Software - Infrastructure,91.8,33,21,36,39,521.55,37848531903.75,-34.72,2223115,1096665,799383
1314,SURYAROSNI,Basic Materials,Steel,91.76,33,45,45,29,247.72,51786460789.027954,-28.07,579906,540327,747244
1315,GROBTEA,Consumer Defensive,Farm Products,91.69,33,35,41,60,900.3,1045864519.8114014,-27.17,117,145,149
1316,XCHANGING,Technology,Information Technology Services,91.68,33,21,18,14,68.02,7134294074.633148,-33.96,133261,105529,94810
1317,KIRIINDUS,Basic Materials,Specialty Chemicals,91.64,33,11,10,24,429.7,26428881604.492188,-44.84,224510,232075,242151
1318,BIKAJI,Consumer Defensive,Packaged Foods,91.55,33,39,54,57,623.3,158139450540.74707,-23.87,121615,124279,146729
1319,LIBERTSHOE,Consumer Cyclical,Footwear & Accessories,91.53,33,34,10,15,251.45,4400580000.0,-37.91,43172,122324,96490
1320,VRAJ,Basic Materials,Steel,91.52,33,19,20,29,125.34,4261684551.64093,-27.21,25956,71813,51039
1321,UTKARSHBNK,Financial Services,Banks - Regional,91.52,33,33,17,3,14.02,25714116894.382793,-41.34,4074453,6525029,8301495
1322,SINCLAIR,Consumer Cyclical,Lodging,91.51,33,25,43,27,76.98,3832710027.923584,-32.92,36345,25674,35281
1323,ATLASCYCLE,Consumer Cyclical,Leisure,91.5,33,16,66,38,96.95,631522659.8759308,-28.19,10481,7001,7252
1324,JAYSREETEA,Consumer Defensive,Farm Products,91.45,33,34,53,27,85.8,2329835740.65271,-25.52,39837,32827,36609
1325,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,91.42,33,23,2,9,330.25,10884821639.810577,-38.61,152639,900369,614465
1326,THOMASCOOK,Consumer Cyclical,Travel Services,91.41,33,12,5,12,105.66,46236471798.33561,-41.8,1909271,1187598,3754911
1327,RATNAMANI,Basic Materials,Steel,91.3,33,70,86,52,2259.1,167835294000.0,-32.46,82681,53208,42739
1328,SAKHTISUG,Consumer Defensive,Confectioners,91.28,32,16,34,19,17.58,2056618991.162693,-29.54,75741,76020,81457
1329,NAHARPOLY,Consumer Cyclical,Packaging & Containers,91.28,32,35,48,65,247.5,6732191635.6536255,-27.27,46731,27546,19857
1330,BALMLAWRIE,Industrials,Conglomerates,91.27,32,47,59,46,173.82,29857272555.324646,-27.03,136506,104380,134368
1331,FRACTAL,Technology,Software - Infrastructure,91.2,32,52,77,69,805.6,135293551866.0,-27.94,294218,376361,420860
1332,SARDAEN,Basic Materials,Steel,91.19,32,45,76,69,500.5,176983492857.5,-21.77,364839,279831,301977
1333,TGBHOTELS,Consumer Cyclical,Lodging,91.13,32,18,40,32,9.18,250691596.2890625,-31.49,72410,62163,41628
1334,INDTERRAIN,Consumer Cyclical,Apparel Retail,91.13,32,35,36,66,31.91,1482527170.01684,-25.13,130970,53781,40852
1335,CORALFINAC,Real Estate,Real Estate Services,91.06,32,29,25,37,33.45,1309822312.5,-34.28,123604,63968,42393
1336,COCHINSHIP,Industrials,Aerospace & Defense,91.05,32,22,51,44,1502.0,366313684494.8706,-24.14,1198081,1500355,1369712
1337,TRENT,Consumer Cyclical,Apparel Retail,91.01,32,29,6,1,3025.0,1541307966040.5,-46.69,1417993,1518217,1599007
1338,TARIL,Industrials,Electrical Equipment & Parts,90.98,32,46,27,6,299.1,88548921030.0,-48.3,963368,2779246,3278524
1339,BALKRISHNA,Consumer Cyclical,Packaging & Containers,90.95,32,44,59,21,17.37,565130620.7778625,-33.12,19126,19881,17192
